,Vishal,Vaibhav,Vishnu
0,Rohit Sharma (9.5 cr),Shreyas Iyer (15.0 cr),Virat Kohli (26.5 cr)
1,Rinku Singh (3.0 cr),Tilak Varma (8.0 cr),Ruturaj Gaikwad (17.5 cr)
2,Suryakumar Yadav (10.5 cr),David Miller (4.0 cr),Shubman Gill (20.0 cr)
3,Arshdeep Singh (14.5 cr),Travis Head (19.0 cr),Kuldeep Yadav (4.5 cr)
4,Jofra Archer (1.0 cr),Yashasvi Jaiswal (19.0 cr),Josh Hazlewood (3.0 cr)
5,Varun Chakravarthy (10.5 cr),Mohammed Shami (3.0 cr),Matheesha Pathirana (1.5 cr)
6,Mitchell Starc (3.5 cr),Trent Boult (7.0 cr),Ravindra Jadeja (4.0 cr)
7,Rashid Khan (12.5 cr),Jasprit Bumrah (8.0 cr),Marco Jansen (5.0 cr)
8,Washington Sundar (0.5 cr),Yuzvendra Chahal (5.0 cr),Pat Cummins (6.0 cr)
9,Sunil Narine (7.5 cr),Bhuvneshwar Kumar (1.0 cr),Sam Curran (2.0 cr)
10,Nitish Reddy (6.5 cr),Ravichandran Ashwin (0.5 cr),Rachin Ravindra (5.0 cr)
11,Venkatesh Iyer (5.5 cr),Axar Patel (8.5 cr),-
12,-,Abhishek Sharma (10.0 cr),-
13,-,Glenn Maxwell (3.5 cr),-
